archive	path	bytes	lines	sha256	packages	plot_calls	setwd	runtime_install	absolute_windows_path	absolute_macos_path	set_seed	ggsave	explicit_device	secondary_axis	significance_annotation
2024	2024/蝶形条形图&蝶形柱状堆积图/蝶形条形图&蝶形柱状堆积图.R	4706	122	d1f6efb6b67a7ae6e44089c785815030aaaeeadefd5a74c2f003d711bcdce322	aplot;ggplot2;reshape2	coord_flip;geom_col;geom_text;ggplot;scale_fill_manual;scale_y_continuous;theme_void	1	0	1	0	0	0	0	0	0
2024	2024/议会图/议会图.R	2800	67	fe09426054e2fb2945916e3e7ad33c51a0399a7039f8867bfb67ff878d47a414	ggparliament;tidyverse	geom_highlight_government;geom_parliament_bar;geom_parliament_seats;ggplot;scale_colour_manual;theme_ggparliament	0	2	1	0	0	0	0	0	0
2024	2024/词云图/词云图.R	1816	41	6611ad7de749a224e4d6f5809269ec980606f8ef2677909bcc88d4a9020798ea	wordcloud2		0	1	2	0	0	0	0	0	0
2024	2024/豆荚图+显著性+误差棒/豆荚图+显著性+误差棒.R	5222	126	e242ecd2d301418a8c6840411ef0e55a42653f693eade96234ee82fe631f78d7	dplyr;gghalves;ggplot2;patchwork	geom_half_violin;ggplot;scale_fill_manual;stat_summary;theme_bw	1	0	1	0	0	0	0	0	0
2024	2024/进化树+分组注释+配对连线/进化树+分组注释+配对连线.R	4075	111	014c17169f2a1e36a9acd5cea97990c919b24c05f45bbb680bbcb5fe1b84429f	ape;aplot;ggplot2;ggtree;patchwork;vegan	geom_segment;geom_text;geom_tiplab;geom_tippoint;ggplot;ggtree;scale_color_manual;scale_fill_manual;scale_x_reverse;theme_void	1	0	1	0	0	0	0	0	0
2024	2024/进化树+多热图组合/进化树+多热图组合.R	7393	173	87610ea77203927a266f5ecf84450b43338983a99ea04f0f0f871876c8382868	ape;aplot;dplyr;ggh4x;ggplot2;ggside;ggtree;reshape2;tidyr;vegan	geom_tile;geom_tiplab;geom_xsidetile;ggplot;ggtree;scale_color_manual;scale_fill_gradient2;scale_fill_multi;scale_x_discrete;scale_xfill_manual;theme_void	1	0	1	0	0	0	0	0	0
2024	2024/雷达图/雷达图.R	2846	77	4ff370a8120c2d9453c5c63efc21ad63673ddebbb1456624ec07e72b02d098ca	RColorBrewer;fmsb;grid;scales		0	1	1	0	1	0	0	0	0
2024	2024/饼图/饼图.R	2829	87	5b1602c673aea616f28d6b1f9f72d78606e736c111f954d8e89620c35c5dd8db	ggplot2;ggpubr;ggstatsplot;plotrix;scales	coord_polar;geom_bar;geom_text;ggplot;scale_fill_manual;theme_void	0	0	0	0	0	0	0	0	0
2024	2024/饼图中部分值的放大效果制作/饼图中部分值的放大效果制作.R	5585	153	fa59ca0291faeda9dfa01da3d8b3d67fc644d3997b5aa7cb43922b787d22da40	dplyr;formattable;ggplot2	coord_polar;geom_rect;geom_text;ggplot;scale_fill_manual;theme_void	1	0	1	0	0	0	0	0	0
2025	2025/世界地图+采样点标记+子地图放大效果/世界地图+采样点标记+子地图放大效果.R	2890	70	d84a6fa652695fc1e88e74727d1aa62ae288a1e34386dfff2f9d1cbd5da9cd94	aplot;dplyr;ggplot2	geom_point;geom_polygon;geom_rect;ggplot;scale_fill_manual;scale_x_continuous;scale_y_continuous;theme_bw	1	0	2	0	0	0	0	0	0
